n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,dataset,model,repeats,folds
5367,1761,3606,0.7764948979286524,0.6645681539866587,0.7016655942537565,0.7529346003353828,0.6439444076770351,0.552526973310619,0.8508042151968941,0.5947432762836186,0.4210693215060091,0.18457801511625146,973,3068,538,788,Hagan_genotox,ECFP,3,5
5367,1761,3606,0.7755079158560579,0.6563165369788082,0.6998330437346048,0.6981553940749021,0.5301153353267835,0.7047132311186826,0.694952856350527,0.6050706972208678,0.37840308593627064,0.19355864371541823,1241,2506,1100,520,Hagan_genotox,ECFP_StateCore,3,5
5367,1761,3606,0.7745700663573204,0.6526567321898492,0.6959173193267704,0.6979690702440842,0.5305676855895196,0.6899488926746167,0.7018857459789241,0.5998518884226117,0.37197510530693306,0.19369961706110508,1215,2531,1075,546,Hagan_genotox,ECFP_FluxCore,3,5
5367,1761,3606,0.773210180647246,0.6504834741203847,0.6975084588339895,0.7022545183528973,0.5363028953229398,0.683702441794435,0.7113144758735441,0.6010983524712931,0.37599633613740996,0.19353055893068163,1204,2565,1041,557,Hagan_genotox,ECFP_StateFluxCore,3,5
