edge,role,state,status,tar,job_id,job_name,comment,success,scf,stage,energy_Eh,job_name2,LTKBID,compound,primary_label,broad_class,mechanism,charge,multiplicity,geometry_source,heavy_atoms,smiles,input_file,input_sha256
R05E002,P,N,success,archive3595(1).tar,3598,R05E002_P_N,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CNCCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-791.18376354,R05E002_P_N,LT00848,Protriptyline hydrochloride,0.0,dealkylation,N-Dealkylation of acyclic secondary amine,0,1,existing_xTB,20,CNCCCC1c2ccccc2C=Cc2ccccc21,output_round05_v4/qchem_inputs/wave_A_neutral/R05E002_P_N.in,fdbc0ff7d8928b3175c732f235325065818f4c488ce1450e04233e131c05174a
R05E003,M,ANI,success,archive3595(1).tar,3704,R05E003_M_ANI,P05 StateFlux Round05 V4 | edge=R05E003 | LTKBID=LT01861 | compound=Viloxazine hydrochloride | class=dealkylation | role=M | state=ANI | source=existing_xTB_R05A | smiles=Oc1ccccc1OCC1CNCCO1,True,8,0,-708.41442499,R05E003_M_ANI,LT01861,Viloxazine hydrochloride,0.0,dealkylation,O-Dealkylation,-1,2,existing_xTB_R05A,15,Oc1ccccc1OCC1CNCCO1,output_round05_v4/qchem_inputs/wave_C_anion/R05E003_M_ANI.in,e53ae64e2529a26e6b56aa800e163e31e24486a80c36cf4bd49b8de489f33ba2
R05E003,M,CAT,success,archive3595(1).tar,3656,R05E003_M_CAT,P05 StateFlux Round05 V4 | edge=R05E003 | LTKBID=LT01861 | compound=Viloxazine hydrochloride | class=dealkylation | role=M | state=CAT | source=existing_xTB_R05A | smiles=Oc1ccccc1OCC1CNCCO1,True,8,0,-708.18204654,R05E003_M_CAT,LT01861,Viloxazine hydrochloride,0.0,dealkylation,O-Dealkylation,1,2,existing_xTB_R05A,15,Oc1ccccc1OCC1CNCCO1,output_round05_v4/qchem_inputs/wave_B_cation/R05E003_M_CAT.in,7d92f2ab63cc29082e8260c1e4821baa5a820132500806eaadabf108ba411e60
R05E003,M,N,success,archive3595(1).tar,3599,R05E003_M_N,P05 StateFlux Round05 V4 | edge=R05E003 | LTKBID=LT01861 | compound=Viloxazine hydrochloride | class=dealkylation | role=M | state=N | source=existing_xTB_R05A | smiles=Oc1ccccc1OCC1CNCCO1,True,8,0,-708.3975326,R05E003_M_N,LT01861,Viloxazine hydrochloride,0.0,dealkylation,O-Dealkylation,0,1,existing_xTB_R05A,15,Oc1ccccc1OCC1CNCCO1,output_round05_v4/qchem_inputs/wave_A_neutral/R05E003_M_N.in,615b5757a876b90e946354aa7e784dafea97736fad253f884a38da115595d461
R05E003,P,ANI,success,archive3595(1).tar,3705,R05E003_P_ANI,P05 StateFlux Round05 V4 | edge=R05E003 | LTKBID=LT01861 | compound=Viloxazine hydrochloride | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CCOc1ccccc1OCC1CNCCO1,True,8,0,-787.01771808,R05E003_P_ANI,LT01861,Viloxazine hydrochloride,0.0,dealkylation,O-Dealkylation,-1,2,existing_xTB,17,CCOc1ccccc1OCC1CNCCO1,output_round05_v4/qchem_inputs/wave_C_anion/R05E003_P_ANI.in,57104c7380e6b0634436ba761cb5730f2cc3d33b8774f50999d2c604b5e7827f
R05E003,P,CAT,success,archive3595(1).tar,3657,R05E003_P_CAT,P05 StateFlux Round05 V4 | edge=R05E003 | LTKBID=LT01861 | compound=Viloxazine hydrochloride | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CCOc1ccccc1OCC1CNCCO1,True,8,0,-786.75747658,R05E003_P_CAT,LT01861,Viloxazine hydrochloride,0.0,dealkylation,O-Dealkylation,1,2,existing_xTB,17,CCOc1ccccc1OCC1CNCCO1,output_round05_v4/qchem_inputs/wave_B_cation/R05E003_P_CAT.in,31d4a10fecff6b8c69fbaadde1eb7adc8ff0a80efd80bb73745501dc29ef5689
R05E003,P,N,success,archive3595(1).tar,3600,R05E003_P_N,P05 StateFlux Round05 V4 | edge=R05E003 | LTKBID=LT01861 | compound=Viloxazine hydrochloride | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CCOc1ccccc1OCC1CNCCO1,True,8,0,-786.99377881,R05E003_P_N,LT01861,Viloxazine hydrochloride,0.0,dealkylation,O-Dealkylation,0,1,existing_xTB,17,CCOc1ccccc1OCC1CNCCO1,output_round05_v4/qchem_inputs/wave_A_neutral/R05E003_P_N.in,33e534ecf52e454815046bdc29b97be12c78c38daa663f43455f29cbb280c3a6
R05E004,M,ANI,success,archive3595(1).tar,3706,R05E004_M_ANI,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Cn1c(=O)[nH]c2nc(Br)[nH]c2c1=O,True,8,0,-3174.96602237,R05E004_M_ANI,LT02055,Pamabrom,0.0,dealkylation,N-Dealkylation of urea,-1,2,existing_xTB,13,Cn1c(=O)[nH]c2nc(Br)[nH]c2c1=O,output_round05_v4/qchem_inputs/wave_C_anion/R05E004_M_ANI.in,bba745e8dca5fc3dd0a07fe86509d336e223e7bda0b8ae3da1d35b7b4150e6cf
R05E004,M,CAT,success,archive3595(1).tar,3658,R05E004_M_CAT,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=Cn1c(=O)[nH]c2nc(Br)[nH]c2c1=O,True,8,0,-3174.67182976,R05E004_M_CAT,LT02055,Pamabrom,0.0,dealkylation,N-Dealkylation of urea,1,2,existing_xTB,13,Cn1c(=O)[nH]c2nc(Br)[nH]c2c1=O,output_round05_v4/qchem_inputs/wave_B_cation/R05E004_M_CAT.in,7fe3e9948244d2d78cca33082eca0ed58f6d79af4590ab3cf178c5a2a75c5a19
R05E004,M,N,success,archive3595(1).tar,3601,R05E004_M_N,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=Cn1c(=O)[nH]c2nc(Br)[nH]c2c1=O,True,8,0,-3174.90963573,R05E004_M_N,LT02055,Pamabrom,0.0,dealkylation,N-Dealkylation of urea,0,1,existing_xTB,13,Cn1c(=O)[nH]c2nc(Br)[nH]c2c1=O,output_round05_v4/qchem_inputs/wave_A_neutral/R05E004_M_N.in,135e633756cc0643fa614d82f3687cfded232c440f1aef886c93feaac75f0bdd
R05E004,P,ANI,success,archive3595(1).tar,3707,R05E004_P_ANI,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,True,8,0,-3214.26066393,R05E004_P_ANI,LT02055,Pamabrom,0.0,dealkylation,N-Dealkylation of urea,-1,2,existing_xTB,14,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,output_round05_v4/qchem_inputs/wave_C_anion/R05E004_P_ANI.in,71034dd666d7ca1dc28f38d2a32416ff45420f2381b5864f6f2da4f67d0d1af0
R05E004,P,CAT,success,archive3595(1).tar,3659,R05E004_P_CAT,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,True,8,0,-3213.97130575,R05E004_P_CAT,LT02055,Pamabrom,0.0,dealkylation,N-Dealkylation of urea,1,2,existing_xTB,14,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,output_round05_v4/qchem_inputs/wave_B_cation/R05E004_P_CAT.in,88f533bd22f56d1d93568330d8848d39a3e2f44490d16dff61d939496f933ee0
R05E004,P,N,success,archive3595(1).tar,3602,R05E004_P_N,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,True,8,0,-3214.20468458,R05E004_P_N,LT02055,Pamabrom,0.0,dealkylation,N-Dealkylation of urea,0,1,existing_xTB,14,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,output_round05_v4/qchem_inputs/wave_A_neutral/R05E004_P_N.in,60d44c049b21a953fa9191ea3696ffe685a258dcd0c44721fff95bc6167928de
R05E005,M,ANI,success,archive3595(1).tar,3708,R05E005_M_ANI,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Cc1ccccc1C(=O)c1ccccc1,True,8,0,-615.83931217,R05E005_M_ANI,LT02085,Orphenadrine hydrochloride,0.0,dealkylation,O-Dealkylation of dialkylether,-1,2,existing_xTB,15,Cc1ccccc1C(=O)c1ccccc1,output_round05_v4/qchem_inputs/wave_C_anion/R05E005_M_ANI.in,31e6a7dc4b6475ad654ea470d83bde466c6bc5f0a11207829d6bcd4d23ec445c
R05E005,M,CAT,success,archive3595(1).tar,3660,R05E005_M_CAT,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=Cc1ccccc1C(=O)c1ccccc1,True,8,0,-615.50988541,R05E005_M_CAT,LT02085,Orphenadrine hydrochloride,0.0,dealkylation,O-Dealkylation of dialkylether,1,2,existing_xTB,15,Cc1ccccc1C(=O)c1ccccc1,output_round05_v4/qchem_inputs/wave_B_cation/R05E005_M_CAT.in,c468c153a01f2ca23ed7354a31dce88d464bdd0a262f64b8f02b297819c42268
R05E005,M,N,success,archive3595(1).tar,3603,R05E005_M_N,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=Cc1ccccc1C(=O)c1ccccc1,True,8,0,-615.75626278,R05E005_M_N,LT02085,Orphenadrine hydrochloride,0.0,dealkylation,O-Dealkylation of dialkylether,0,1,existing_xTB,15,Cc1ccccc1C(=O)c1ccccc1,output_round05_v4/qchem_inputs/wave_A_neutral/R05E005_M_N.in,e49e153b8abeab21c492d3d78bf0d13ef825342cedeea108495edde5363255a1
R05E005,P,ANI,success,archive3595(1).tar,3709,R05E005_P_ANI,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=Cc1ccccc1C(OCCN(C)C)c1ccccc1,True,8,0,-829.50409409,R05E005_P_ANI,LT02085,Orphenadrine hydrochloride,0.0,dealkylation,O-Dealkylation of dialkylether,-1,2,existing_xTB,20,Cc1ccccc1C(OCCN(C)C)c1ccccc1,output_round05_v4/qchem_inputs/wave_C_anion/R05E005_P_ANI.in,510825cd62cb4f0db13155f4bc566bba552c64345049ab4baab0fc361fb40908
R05E005,P,CAT,success,archive3595(1).tar,3661,R05E005_P_CAT,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=Cc1ccccc1C(OCCN(C)C)c1ccccc1,True,8,0,-829.26833204,R05E005_P_CAT,LT02085,Orphenadrine hydrochloride,0.0,dealkylation,O-Dealkylation of dialkylether,1,2,existing_xTB,20,Cc1ccccc1C(OCCN(C)C)c1ccccc1,output_round05_v4/qchem_inputs/wave_B_cation/R05E005_P_CAT.in,b5205b99ad06346ea174d614e33f8be40ba3566a5b482258adff45127e4efbce
R05E005,P,N,success,archive3595(1).tar,3604,R05E005_M_N,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=Cc1ccccc1C(OCCN(C)C)c1ccccc1,True,8,0,-829.48196191,R05E005_P_N,LT02085,Orphenadrine hydrochloride,0.0,dealkylation,O-Dealkylation of dialkylether,0,1,existing_xTB,20,Cc1ccccc1C(OCCN(C)C)c1ccccc1,output_round05_v4/qchem_inputs/wave_A_neutral/R05E005_P_N.in,d05b8607e3420e1860bb2fdea9bc8b855c217f0e63a7cf8d7037fe37d803ba8b
R05E006,M,ANI,success,archive3757 (1).tar,3757,R05E022_M_CAT_RESCUE1,P05 StateFlux Round05 V4 RESCUE1 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,True,8,1,-1077.93622159,R05E006_M_ANI,LT00152,Tamoxifen citrate,1.0,dealkylation,N-Dealkylation of acyclic tertiary amine,-1,2,existing_xTB,26,CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,output_round05_v4/qchem_inputs/wave_C_anion/R05E006_M_ANI.in,2ebc31dedece82619f9d2bad24195971e1965a332693ba7e889a3c67dcb2af85
R05E006,M,CAT,success,archive3595(1).tar,3662,R05E006_M_CAT,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,True,8,0,-1077.6917373,R05E006_M_CAT,LT00152,Tamoxifen citrate,1.0,dealkylation,N-Dealkylation of acyclic tertiary amine,1,2,existing_xTB,26,CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,output_round05_v4/qchem_inputs/wave_B_cation/R05E006_M_CAT.in,44b3d3f833a69d85172e2daf763fa582297c79b0eff4c6357d4832d98611d56d
R05E006,M,N,success,archive3595(1).tar,3605,R05E005_P_N,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,True,8,0,-1077.89617585,R05E006_M_N,LT00152,Tamoxifen citrate,1.0,dealkylation,N-Dealkylation of acyclic tertiary amine,0,1,existing_xTB,26,CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,output_round05_v4/qchem_inputs/wave_A_neutral/R05E006_M_N.in,926417441a5e4c7cee3093f33964017348946d23c22a20c77ebcff98f29a5d22
R05E006,P,ANI,success,archive3757 (1).tar,3758,R05E024_M_CAT_RESCUE1,P05 StateFlux Round05 V4 RESCUE1 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,True,8,1,-1137.88255281,R05E006_P_ANI,LT00152,Tamoxifen citrate,1.0,dealkylation,N-Dealkylation of acyclic tertiary amine,-1,2,existing_xTB,28,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,output_round05_v4/qchem_inputs/wave_C_anion/R05E006_P_ANI.in,59f0873e64548ef6cd1014c151d232514b76e512aa4825c7cc364686133716fe
R05E006,P,CAT,success,archive3595(1).tar,3663,R05E006_P_CAT,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,True,8,0,-1137.6400626,R05E006_P_CAT,LT00152,Tamoxifen citrate,1.0,dealkylation,N-Dealkylation of acyclic tertiary amine,1,2,existing_xTB,28,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,output_round05_v4/qchem_inputs/wave_B_cation/R05E006_P_CAT.in,9c10a57bcac09d52bc1428dd950779d4f8aa2cc19dd439df858dd8248b20a24f
R05E006,P,N,success,archive3595(1).tar,3606,R05E006_M_N,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,True,8,0,-1137.84254952,R05E006_P_N,LT00152,Tamoxifen citrate,1.0,dealkylation,N-Dealkylation of acyclic tertiary amine,0,1,existing_xTB,28,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,output_round05_v4/qchem_inputs/wave_A_neutral/R05E006_P_N.in,aae839e080d6e593b1b482c791522226a9b187f84feadecfcbda6544b9fc67bd
R05E007,M,ANI,success,archive3757 (1).tar,3759,R05E006_M_ANI_RESCUE1,P05 StateFlux Round05 V4 RESCUE1 | edge=R05E007 | LTKBID=LT00672 | compound=Pazopanib hydrochloride | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Cc1ccc(Nc2nccc(Nc3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,True,8,1,-1706.29032658,R05E007_M_ANI,LT00672,Pazopanib hydrochloride,1.0,dealkylation,N-Dealkylation of mixed tertiary amine,-1,2,existing_xTB,30,Cc1ccc(Nc2nccc(Nc3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,output_round05_v4/qchem_inputs/wave_C_anion/R05E007_M_ANI.in,2fea04a590d6207c5a0eb5b05281b2b5acebd9afec59e118d488e1841f0da1c7
