n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model
376,156,220,0.8248834498834499,0.7726928263110616,0.7448135198135197,0.7526595744680851,0.7032258064516129,0.6987179487179487,0.7909090909090909,0.7009646302250804,0.49009136124833497,0.1758238593849658,109,174,46,47,ECFP
376,156,220,0.8168997668997668,0.7415849683739897,0.7601398601398601,0.7553191489361702,0.6758241758241759,0.7884615384615384,0.7318181818181818,0.727810650887574,0.5129487534091074,0.17919714926790495,123,161,59,33,ECFP_StateCore
376,156,220,0.8049242424242424,0.7430269207666467,0.7122960372960373,0.7047872340425532,0.6178010471204188,0.7564102564102564,0.6681818181818182,0.6801152737752162,0.4184494247439079,0.1838317783034135,118,147,73,38,ECFP_FluxCore
376,156,220,0.8009615384615384,0.7261229348511892,0.7382284382284382,0.7340425531914894,0.6538461538461539,0.7628205128205128,0.7136363636363636,0.7041420118343196,0.469743392458878,0.1843642373847734,119,157,63,37,ECFP_StateFluxCore
