n,pearson_r,spearman_rho,mae_eV,rmse_eV,sign_agreement,class
10,0.9448765612259926,0.8545454545454544,0.27567258200337663,0.37889325297494414,0.8,dealkylation
6,0.9964644403464746,1.0,0.34454808975119744,0.6031485172163766,1.0,oxidation
8,0.9050694514460427,0.880952380952381,0.6210897404628043,0.733474691674054,0.625,phaseII_conjugation
