row_id,compound,query_type,ok,query,status,error,source,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey,Title
LT03732,Pegcetacoplan,name,False,Pegcetacoplan,,,,,,,,,,
LT01380,Pegfilgrastim,chembl_id,False,CHEMBL1201568,200.0,,,,,,,,,
LT01380,Pegfilgrastim,name,False,Pegfilgrastim,,,,,,,,,,
LT01380,Pegfilgrastim,ChEMBL_synonym,False,CHEMBL1201568,,,,,,,,,,
LT01376,Peginterferon alfa-2a,chembl_id,False,CHEMBL1201560,200.0,,,,,,,,,
LT01376,Peginterferon alfa-2a,name,False,Peginterferon alfa-2a,,,,,,,,,,
LT01376,Peginterferon alfa-2a,ChEMBL_synonym,False,CHEMBL1201560,,,,,,,,,,
LT01367,Peginterferon alfa-2b,chembl_id,False,CHEMBL1201561,200.0,,,,,,,,,
LT01367,Peginterferon alfa-2b,name,False,Peginterferon alfa-2b,,,,,,,,,,
LT01367,Peginterferon alfa-2b,ChEMBL_synonym,False,CHEMBL1201561,,,,,,,,,,
LT01069,Pegvisomant,chembl_id,False,CHEMBL1201515,200.0,,,,,,,,,
LT01069,Pegvisomant,name,False,Pegvisomant,,,,,,,,,,
LT01069,Pegvisomant,ChEMBL_synonym,False,CHEMBL1201515,,,,,,,,,,
LT03733,Pemigatinib,name,True,Pemigatinib,,,PubChem_name_property,86705695.0,C24H27F2N5O4,487.5,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,HCDMJFOHIXMBOV-UHFFFAOYSA-N,Pemigatinib
LT00956,Pentosan polysulfate sodium,name,False,Pentosan polysulfate sodium,,,,,,,,,,
LT00956,Pentosan polysulfate sodium,name,False,Pentosan polysulfate,,,,,,,,,,
LT02446,Perampanel,name,True,Perampanel,,,PubChem_name_property,9924495.0,C23H15N3O,349.4,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,PRMWGUBFXWROHD-UHFFFAOYSA-N,Perampanel
LT03735,Pexidartinib hydrochloride,name,True,Pexidartinib hydrochloride,,,PubChem_name_property,73053710.0,C20H16Cl2F3N5,454.3,C1=CC(=NC=C1CC2=CNC3=C2C=C(C=N3)Cl)NCC4=CN=C(C=C4)C(F)(F)F.Cl,C1=CC(=NC=C1CC2=CNC3=C2C=C(C=N3)Cl)NCC4=CN=C(C=C4)C(F)(F)F.Cl,CJLUYLRKLUYCEK-UHFFFAOYSA-N,Pexidartinib Hydrochloride
LT03915,Piflufolastat f-18,name,True,Piflufolastat f-18,,,PubChem_name_property,52950901.0,C18H23FN4O8,441.4,C1=CC(=NC=C1C(=O)NCCCC[C@@H](C(=O)O)NC(=O)N[C@@H](CCC(=O)O)C(=O)O)[18F],C1=CC(=NC=C1C(=O)NCCCCC(C(=O)O)NC(=O)NC(CCC(=O)O)C(=O)O)F,OLWVRJUNLXQDSP-MVBOSPHXSA-N,Piflufolastat F-18
LT03736,Pimavanserin tartrate,name,True,Pimavanserin tartrate,,,PubChem_name_property,11672491.0,C54H74F2N6O10,1005.2,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C.CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C.CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C.C(C(C(=O)O)O)(C(=O)O)O,RGSULKHNAKTFIZ-CEAXSRTFSA-N,Pimavanserin Tartrate
